Código Disciplina,Turma,Professor,Link
MAT002,t08,Fábio Scalco,https://chat.whatsapp.com/BZ6asiso8LO9kL1qLVq7OP
MAT003,T2,BRAULIO AUGUSTO,https://chat.whatsapp.com/Ev1vm7matyzA9bii2yDIld
MAT011,T01,Gisele Silva,https://chat.whatsapp.com/JdHHI50Lojr7ynPq63HAi9
MAT012,T01,Marcelo Aparecido Cabral Nogueira,https://chat.whatsapp.com/Lmiud826xdW5gmQMKSInGH
MAT012,T01,Marcelo Cabral,https://chat.whatsapp.com/Lmiud826xdW5gmQMKSInGH
MAT012,T02,Marcelo aparecido e Nancy Chachapoya,https://chat.whatsapp.com/E4uWogP8BQrLFeVqELEKi2
MAT012,T03,Rodrigo Lima,https://chat.whatsapp.com/DEEi2tdcZ4H7uZ7OSwjZrk
MAT013,T01,José Humberto Bravo Vidarte,https://chat.whatsapp.com/Cia9Txvjmb5BpUXv9HZqa3
MAT013,T02,Jose Humberto Bravo Vidarte,https://chat.whatsapp.com/DzXa2IzXe1uKntlLkOLMR8
MAT013,T02,José Humberto Vidarte,https://chat.whatsapp.com/DzXa2IzXe1uKntlLkOLMR8
MAT013,T03,Hevilla,https://chat.whatsapp.com/Jx15NoWS1gyKK5dB8poGHM
MAT015,T01,Edilson,https://chat.whatsapp.com/F32Qz2o1bLLGBslevYhpa7
MAT021,T01,MARCIA SAYURI KASHIMOTO,https://chat.whatsapp.com/ISnzTpZyk5IGmbwfzxfRv4
MAT021,T02,KASHIMOTO,https://chat.whatsapp.com/EWlZ9FGDMebJgGuIHovqW5
MAT021,T04,Jacson Simsen,https://chat.whatsapp.com/FVCn7WGZ1JHBZnIvBPNX3d
MAT021,T04,JACSON SIMSEN,https://chat.whatsapp.com/BBgacNUt2EyKHB2OPq1N5B
MAT022,T01,JUAN VALENTIN MENDOZA MOGOLLON,https://chat.whatsapp.com/JiStBxhAB09IY54LQLkStt
MAT022,T02,Medina,https://chat.whatsapp.com/KOuIsUAqPhy9fkxn5NqX3J
MAT022,T04,Denis,https://chat.whatsapp.com/Lgtfttaf4tj7JOci8Z4MZj
MAT057,T01,Rick Rischter,https://chat.whatsapp.com/BM38lxx25rG8oGl2VG6Mlm
MAT450,T01,Leandro Gustavo Gomes,https://chat.whatsapp.com/BvUHRKewibKIxYMDD1YMPs
MAT450,T01,Maicon Sonego,https://chat.whatsapp.com/BvUHRKewibKIxYMDD1YMPs
MCM006,T2,PAULO JUNHO,https://chat.whatsapp.com/BAq9R8rndCJ7uZR1iEKJba
PRE401,T01,Marcelo,https://chat.whatsapp.com/EJSYjnFwT9s6YslqvhivWL
QUI016,T01,Barbara,https://chat.whatsapp.com/LhZTC3VlRpf8NXhscRjAaA
QUI016,T02,Bombard ,https://chat.whatsapp.com/E9k8L6eAH03Ae6d0LUkLb8
QUI025,T02,Marcia kondo,https://chat.whatsapp.com/FkDbCQWWtzY7GZW7xugKSA
QUI032,T01,Rossano ,https://chat.whatsapp.com/LaQWnPzf5CB64UBTavMdGB
QUI033,T02,Frederico Barros de Sousa,https://chat.whatsapp.com/BNc5IgkWrOv1IA667VfrlU
QUI086,T01,Mauricio Saraiva,https://chat.whatsapp.com/DH6aKRtYUcv5qDw5oOjCTi
QUI102,T03,Maria Elena Levya Gonzalez,https://chat.whatsapp.com/IasPv0culMPIoWjuXGIBYa
QUI105,T01,Marcia Matiko Kondo,https://chat.whatsapp.com/IjLSdHVnkI8EfTka9dKNsF
QUI105,T01,Marcia Matiko ,https://chat.whatsapp.com/IjLSdHVnkI8EfTka9dKNsF
QUI112,T01,Filiberto Gonzalez ,https://chat.whatsapp.com/GMKDAq2ZXLg9GLp1gI2Z4z
QUI112,T03,Barbara,https://chat.whatsapp.com/ESEfY9FD6lAFE2p2SWWEcc
QUI115,T01,Flávio Soares Silva ,https://chat.whatsapp.com/BrTfgul84TWIbXtQFbrJxS
QUI115,T02,Flavio Soares ,https://chat.whatsapp.com/DI2lhFh4TwdCTudX2zGS1I
SOC002,T07,CARLOS ALBERTO MAXIMO PIMENTA,https://chat.whatsapp.com/E7Y1BmAMni4BYPeaZE2i2J
SOC002,T2,ELIANA SOUZA,https://chat.whatsapp.com/F8B3hbyUIAcKa9bBcilVB6
TELC01,T01,DANILO HENRIQUE SPADOTI,https://chat.whatsapp.com/GMNHdjGQCyyHGTVn4wfSo8
TELC02,T01,Mateus Augusto,https://chat.whatsapp.com/Eg0OcTBP2ZKFrVNYTcNMXD
TELC03,T02,Maurílio Pereira Coutinho,https://chat.whatsapp.com/KKyiBW7gkKgFMhCSHauTNc
